sensor_id,trip_id,timestamp,elapsed_seconds,accel_x,accel_y,accel_z,speed_kmh,gps_lat,gps_lon
ACC001,TRIP001,2024-02-06 06:38:00,0,-0.098,-0.3258,9.6242,10.0,19.1321,72.8106
ACC002,TRIP001,2024-02-06 06:38:15,15,0.217,0.0619,9.7761,10.3,19.1324,72.8107
ACC003,TRIP001,2024-02-06 06:38:30,30,-0.2521,-0.2138,9.6253,10.0,19.1322,72.8105
ACC004,TRIP001,2024-02-06 06:38:45,45,0.1375,-0.2693,9.6949,10.9,19.1323,72.8102
ACC005,TRIP001,2024-02-06 06:39:00,60,0.1108,0.2743,9.794,13.8,19.1324,72.8103
ACC006,TRIP001,2024-02-06 06:39:15,75,0.2487,-0.0329,9.6662,12.7,19.1325,72.8102
ACC007,TRIP001,2024-02-06 06:39:30,90,0.0508,0.3183,9.6999,11.2,19.1326,72.81
ACC008,TRIP001,2024-02-06 06:39:45,105,-0.071,0.3969,9.7323,13.0,19.1325,72.8096
ACC009,TRIP001,2024-02-06 06:40:00,120,0.1324,0.1454,9.7342,15.8,19.1329,72.809
ACC010,TRIP001,2024-02-06 06:40:15,135,0.205,0.0061,9.6497,15.8,19.1324,72.8091
ACC011,TRIP001,2024-02-06 06:40:30,150,0.2535,0.3348,9.7497,15.0,19.132,72.8096
ACC012,TRIP001,2024-02-06 06:40:45,165,0.1896,0.3824,9.7332,15.4,19.1315,72.8099
ACC013,TRIP001,2024-02-06 06:41:00,180,-0.2009,0.0221,9.7516,13.2,19.1317,72.8103
ACC014,TRIP001,2024-02-06 06:41:15,195,-0.1513,-0.3488,9.6053,12.4,19.1321,72.8103
ACC015,TRIP001,2024-02-06 06:41:30,210,-0.3461,-3.9309,9.5826,7.3,19.1322,72.8101
ACC016,TRIP001,2024-02-06 06:41:45,225,-0.3245,-2.5502,9.5886,0.0,19.1322,72.8101
ACC017,TRIP001,2024-02-06 06:42:00,240,0.1228,-2.5784,9.5152,0.0,19.1322,72.8101
ACC018,TRIP001,2024-02-06 06:42:15,255,0.2464,-2.1169,9.5245,0.0,19.1322,72.8101
ACC019,TRIP001,2024-02-06 06:42:30,270,-0.3254,-2.3422,9.5591,0.0,19.1322,72.8101
ACC020,TRIP001,2024-02-06 06:42:45,285,0.1573,-2.3929,9.6958,0.0,19.1322,72.8101
ACC021,TRIP001,2024-02-06 06:43:00,300,0.0475,2.5844,9.737,4.9,19.1321,72.8103
ACC022,TRIP001,2024-02-06 06:43:15,315,-0.1589,1.7398,9.7726,10.0,19.1322,72.8104
ACC023,TRIP001,2024-02-06 06:43:30,330,-0.0485,2.6673,9.6807,15.5,19.1323,72.8105
ACC024,TRIP001,2024-02-06 06:43:45,345,-0.025,3.4969,9.799,21.4,19.1327,72.8098
ACC025,TRIP001,2024-02-06 06:44:00,360,0.26,3.2617,9.7698,25.8,19.1321,72.8093
