accel_id,driver_id,trip_id,timestamp,accel_x,accel_y,accel_z,driving_state
ACC000001,DRV001,DRV001_T01,2024-02-06 06:32:00,0.0442,0.0253,0.0738,idle
ACC000002,DRV001,DRV001_T01,2024-02-06 06:32:15,-0.0059,-0.0245,-0.0049,idle
ACC000003,DRV001,DRV001_T01,2024-02-06 06:32:30,0.0077,0.0344,0.0074,idle
ACC000004,DRV001,DRV001_T01,2024-02-06 06:32:45,-0.0269,0.0062,0.038,idle
ACC000005,DRV001,DRV001_T01,2024-02-06 06:33:00,0.0169,0.0145,0.0009,idle
ACC000006,DRV001,DRV001_T01,2024-02-06 06:33:15,0.037,0.0295,-0.026,idle
ACC000007,DRV001,DRV001_T01,2024-02-06 06:33:30,0.0462,0.0173,0.0022,idle
ACC000008,DRV001,DRV001_T01,2024-02-06 06:33:45,-0.0459,0.0455,0.0669,idle
ACC000009,DRV001,DRV001_T01,2024-02-06 06:34:00,-0.0176,0.0398,0.0246,idle
ACC000010,DRV001,DRV001_T01,2024-02-06 06:34:15,0.0044,-0.046,-0.0008,idle
ACC000011,DRV001,DRV001_T01,2024-02-06 06:34:30,0.27,0.1675,-0.1109,cruising
ACC000012,DRV001,DRV001_T01,2024-02-06 06:34:45,-0.2505,0.0667,0.0516,cruising
ACC000013,DRV001,DRV001_T01,2024-02-06 06:35:00,0.1048,0.0263,-0.1445,cruising
ACC000014,DRV001,DRV001_T01,2024-02-06 06:35:15,0.2381,0.2404,-0.1477,cruising
ACC000015,DRV001,DRV001_T01,2024-02-06 06:35:30,0.0011,-0.1871,-0.0122,cruising
ACC000016,DRV001,DRV001_T01,2024-02-06 06:35:45,-0.3514,-2.9946,0.2159,braking
ACC000017,DRV001,DRV001_T01,2024-02-06 06:36:00,0.3874,-1.9029,0.2958,braking
ACC000018,DRV001,DRV001_T01,2024-02-06 06:36:15,0.133,-2.0429,-0.2342,braking
ACC000019,DRV001,DRV001_T01,2024-02-06 06:36:30,0.1978,-3.1369,0.1597,braking
ACC000020,DRV001,DRV001_T01,2024-02-06 06:36:45,0.1321,-3.9816,0.0585,braking
ACC000021,DRV001,DRV001_T01,2024-02-06 06:37:00,0.1343,0.0324,0.1211,cruising
ACC000022,DRV001,DRV001_T01,2024-02-06 06:37:15,-0.1973,-0.188,0.0131,cruising
ACC000023,DRV001,DRV001_T01,2024-02-06 06:37:30,-0.1142,-0.198,-0.0634,cruising
ACC000024,DRV001,DRV001_T01,2024-02-06 06:37:45,0.1356,-2.2332,0.0321,braking
ACC000025,DRV001,DRV001_T01,2024-02-06 06:38:00,-0.1294,-3.8316,0.0339,braking
ACC000026,DRV001,DRV001_T01,2024-02-06 06:38:15,0.2013,-3.3141,0.1292,braking
ACC000027,DRV001,DRV001_T01,2024-02-06 06:38:30,-0.1665,-1.8896,-0.1865,braking
ACC000028,DRV001,DRV001_T01,2024-02-06 06:38:45,-0.3536,-2.5233,0.1452,braking
ACC000029,DRV001,DRV001_T01,2024-02-06 06:39:00,-0.357,-2.5371,0.0941,braking
ACC000030,DRV001,DRV001_T01,2024-02-06 06:39:15,0.0376,-2.9605,0.2574,braking
ACC000031,DRV001,DRV001_T01,2024-02-06 06:39:30,0.2859,-2.6693,0.2137,braking
ACC000032,DRV001,DRV001_T01,2024-02-06 06:39:45,0.2652,-0.2533,-0.1088,cruising
ACC000033,DRV001,DRV001_T01,2024-02-06 06:40:00,0.0055,-0.2003,-0.003,cruising
ACC000034,DRV001,DRV001_T01,2024-02-06 06:40:15,-0.1242,0.2912,0.0597,cruising
ACC000035,DRV001,DRV001_T01,2024-02-06 06:40:30,0.0927,0.2489,-0.0303,cruising
ACC000036,DRV001,DRV001_T01,2024-02-06 06:40:45,0.0118,-0.3649,0.0223,cruising
ACC000037,DRV001,DRV001_T01,2024-02-06 06:41:00,0.2764,0.0545,0.1433,cruising
ACC000038,DRV001,DRV001_T01,2024-02-06 06:41:15,0.0665,0.0261,0.1187,cruising
ACC000039,DRV001,DRV001_T01,2024-02-06 06:41:30,-0.1049,0.0956,-0.076,cruising
ACC000040,DRV001,DRV001_T01,2024-02-06 06:41:45,0.1985,0.0062,-0.1194,cruising
ACC000041,DRV001,DRV001_T01,2024-02-06 06:42:00,-0.2995,0.0572,0.0334,cruising
ACC000042,DRV001,DRV001_T01,2024-02-06 06:42:15,0.1561,0.0864,0.1201,cruising
ACC000043,DRV001,DRV001_T01,2024-02-06 06:42:30,-0.086,-0.0553,-0.0015,cruising
ACC000044,DRV001,DRV001_T01,2024-02-06 06:42:45,0.2475,-0.3406,-0.0247,cruising
ACC000045,DRV001,DRV001_T01,2024-02-06 06:43:00,-0.0021,0.0365,-0.1419,cruising
ACC000046,DRV001,DRV001_T01,2024-02-06 06:43:15,-0.1114,-0.2547,0.0084,cruising
ACC000047,DRV001,DRV001_T01,2024-02-06 06:43:30,-0.238,0.1426,-0.0602,cruising
ACC000048,DRV001,DRV001_T01,2024-02-06 06:43:45,-0.1198,0.3477,0.1073,cruising
ACC000049,DRV001,DRV001_T01,2024-02-06 06:44:00,-0.1097,-0.1067,0.0665,cruising
ACC000050,DRV001,DRV001_T01,2024-02-06 06:44:15,0.1012,0.3619,0.022,cruising
ACC000051,DRV001,DRV001_T01,2024-02-06 06:44:30,-0.099,-0.1599,0.1121,cruising
ACC000052,DRV001,DRV001_T01,2024-02-06 06:44:45,0.2146,-0.0245,-0.0066,cruising
ACC000053,DRV001,DRV001_T01,2024-02-06 06:45:00,-0.0059,0.1035,-0.1134,cruising
ACC000054,DRV001,DRV001_T01,2024-02-06 06:45:15,0.0883,-0.3088,-0.012,cruising
ACC000055,DRV001,DRV001_T01,2024-02-06 06:45:30,-0.2799,0.0313,0.0374,cruising
ACC000056,DRV001,DRV001_T01,2024-02-06 06:45:45,-0.2054,-3.0279,-0.1504,braking
ACC000057,DRV001,DRV001_T01,2024-02-06 06:46:00,-0.2099,-1.996,-0.1336,braking
ACC000058,DRV001,DRV001_T01,2024-02-06 06:46:15,-0.1308,-3.234,-0.2227,braking
ACC000059,DRV001,DRV001_T01,2024-02-06 06:46:30,0.2098,-2.8281,0.2002,braking
ACC000060,DRV001,DRV001_T01,2024-02-06 06:46:45,-0.0777,-2.8593,-0.1544,braking
ACC000061,DRV001,DRV001_T01,2024-02-06 06:47:00,0.0995,0.3382,-0.0447,cruising
ACC000062,DRV001,DRV001_T01,2024-02-06 06:47:15,0.2071,0.0748,-0.1062,cruising
ACC000063,DRV001,DRV001_T01,2024-02-06 06:47:30,-0.1128,0.1735,0.0697,cruising
ACC000064,DRV001,DRV001_T01,2024-02-06 06:47:45,-0.1162,0.1732,0.0247,cruising
ACC000065,DRV001,DRV001_T01,2024-02-06 06:48:00,-0.0016,-0.0473,0.112,cruising
ACC000066,DRV001,DRV001_T01,2024-02-06 06:48:15,-0.2688,-0.1875,-0.1238,cruising
ACC000067,DRV001,DRV001_T01,2024-02-06 06:48:30,0.2646,-0.1371,-0.1128,cruising
ACC000068,DRV001,DRV001_T01,2024-02-06 06:48:45,-0.2839,0.2137,-0.1302,cruising
ACC000069,DRV001,DRV001_T01,2024-02-06 06:49:00,-0.2308,0.0887,-0.0584,cruising
ACC000070,DRV001,DRV001_T01,2024-02-06 06:49:15,-0.2714,-0.149,0.0524,cruising
ACC000071,DRV001,DRV001_T01,2024-02-06 06:49:30,-0.0034,-0.3329,0.0381,cruising
