audio_id,driver_id,trip_id,timestamp,noise_level_db,is_horn,driving_state
AUD000001,DRV001,DRV001_T01,2024-02-06 06:32:00,60.19,0,idle
AUD000002,DRV001,DRV001_T01,2024-02-06 06:32:30,59.28,0,idle
AUD000003,DRV001,DRV001_T01,2024-02-06 06:33:00,56.12,0,idle
AUD000004,DRV001,DRV001_T01,2024-02-06 06:33:30,51.08,0,idle
AUD000005,DRV001,DRV001_T01,2024-02-06 06:34:00,53.33,0,idle
AUD000006,DRV001,DRV001_T01,2024-02-06 06:34:30,66.53,0,cruising
AUD000007,DRV001,DRV001_T01,2024-02-06 06:35:00,68.82,0,cruising
AUD000008,DRV001,DRV001_T01,2024-02-06 06:35:30,69.32,0,cruising
AUD000009,DRV001,DRV001_T01,2024-02-06 06:36:00,73.07,0,braking
AUD000010,DRV001,DRV001_T01,2024-02-06 06:36:30,69.71,0,braking
AUD000011,DRV001,DRV001_T01,2024-02-06 06:37:00,69.51,0,cruising
AUD000012,DRV001,DRV001_T01,2024-02-06 06:37:30,65.56,0,cruising
AUD000013,DRV001,DRV001_T01,2024-02-06 06:38:00,73.12,0,braking
AUD000014,DRV001,DRV001_T01,2024-02-06 06:38:30,70.26,0,braking
AUD000015,DRV001,DRV001_T01,2024-02-06 06:39:00,72.13,0,braking
AUD000016,DRV001,DRV001_T01,2024-02-06 06:39:30,71.59,0,braking
AUD000017,DRV001,DRV001_T01,2024-02-06 06:40:00,67.89,0,cruising
AUD000018,DRV001,DRV001_T01,2024-02-06 06:40:30,72.2,0,cruising
AUD000019,DRV001,DRV001_T01,2024-02-06 06:41:00,66.66,0,cruising
AUD000020,DRV001,DRV001_T01,2024-02-06 06:41:30,62.97,0,cruising
AUD000021,DRV001,DRV001_T01,2024-02-06 06:42:00,70.84,0,cruising
AUD000022,DRV001,DRV001_T01,2024-02-06 06:42:30,69.76,0,cruising
AUD000023,DRV001,DRV001_T01,2024-02-06 06:43:00,66.18,0,cruising
AUD000024,DRV001,DRV001_T01,2024-02-06 06:43:30,69.38,0,cruising
AUD000025,DRV001,DRV001_T01,2024-02-06 06:44:00,64.67,0,cruising
AUD000026,DRV001,DRV001_T01,2024-02-06 06:44:30,64.6,0,cruising
AUD000027,DRV001,DRV001_T01,2024-02-06 06:45:00,64.8,0,cruising
AUD000028,DRV001,DRV001_T01,2024-02-06 06:45:30,63.46,0,cruising
