audio_id,trip_id,timestamp,elapsed_seconds,audio_level_db,audio_classification,sustained_duration_sec
AUD001,TRIP001,2024-02-06 06:38:00,0,67.2,conversation,0
AUD002,TRIP001,2024-02-06 06:38:30,30,67.6,conversation,0
AUD003,TRIP001,2024-02-06 06:39:00,60,60.4,normal,0
AUD004,TRIP001,2024-02-06 06:39:30,90,72.0,loud,0
AUD005,TRIP001,2024-02-06 06:40:00,120,67.7,conversation,0
AUD006,TRIP001,2024-02-06 06:40:30,150,61.3,normal,0
AUD007,TRIP001,2024-02-06 06:41:00,180,71.1,conversation,0
AUD008,TRIP001,2024-02-06 06:41:30,210,72.0,loud,0
AUD009,TRIP001,2024-02-06 06:42:00,240,67.5,conversation,0
AUD010,TRIP001,2024-02-06 06:42:30,270,76.7,loud,0
AUD011,TRIP001,2024-02-06 06:43:00,300,76.0,loud,0
AUD012,TRIP001,2024-02-06 06:43:30,330,78.6,loud,0
AUD013,TRIP001,2024-02-06 06:44:00,360,80.0,loud,0
AUD014,TRIP001,2024-02-06 06:44:30,390,73.2,loud,0
AUD015,TRIP001,2024-02-06 06:45:00,420,80.0,loud,0
AUD016,TRIP001,2024-02-06 06:45:30,450,64.9,normal,0
AUD017,TRIP001,2024-02-06 06:46:00,480,67.9,conversation,0
AUD018,TRIP001,2024-02-06 06:46:30,510,65.2,conversation,0
AUD019,TRIP001,2024-02-06 06:47:00,540,70.8,conversation,0
AUD020,TRIP001,2024-02-06 06:47:30,570,65.3,conversation,0
AUD021,TRIP001,2024-02-06 06:48:00,600,77.6,loud,0
AUD022,TRIP001,2024-02-06 06:48:30,630,78.0,loud,0
AUD023,TRIP001,2024-02-06 06:49:00,660,73.3,loud,0
AUD024,TRIP001,2024-02-06 06:49:30,690,69.2,conversation,0
AUD025,TRIP001,2024-02-06 06:50:00,720,65.6,conversation,0
AUD026,TRIP001,2024-02-06 06:50:30,750,61.0,normal,0
AUD027,TRIP001,2024-02-06 06:51:00,780,62.0,normal,0
AUD028,TRIP001,2024-02-06 06:51:30,810,67.2,conversation,0
AUD029,TRIP001,2024-02-06 06:52:00,840,55.4,quiet,0
AUD030,TRIP001,2024-02-06 06:52:30,870,58.8,normal,0
AUD031,TRIP001,2024-02-06 06:53:00,900,55.3,quiet,0
AUD032,TRIP001,2024-02-06 06:53:30,930,51.0,quiet,0
AUD033,TRIP001,2024-02-06 06:54:00,960,59.4,normal,0
AUD034,TRIP001,2024-02-06 06:54:30,990,66.3,conversation,0
AUD035,TRIP001,2024-02-06 06:55:00,1020,72.7,loud,0
AUD036,TRIP001,2024-02-06 06:55:30,1050,70.7,conversation,0
AUD037,TRIP001,2024-02-06 06:56:00,1080,65.2,conversation,0
AUD038,TRIP001,2024-02-06 06:56:30,1110,69.9,conversation,0
AUD039,TRIP001,2024-02-06 06:57:00,1140,63.7,normal,0
